speed,met1,met2,time
4018.6,4019.6,3528.8,0:0:22.41
3529.8,3530.8,3528.8,0:0:22.47
3529.8,3530.8,3558.2,0:0:22.49
3559.2,3530.8,3558.2,0:0:22.52
3559.2,3560.2,3558.2,0:0:22.55
3559.2,3560.2,3861.2,0:0:22.57
3862.2,3560.2,3861.2,0:0:22.60
3862.2,3863.2,3861.2,0:0:22.63
3764.4,4068.5,3763.4,0:0:22.74
3764.4,3765.4,3998.0,0:0:22.79
3999.0,4000.0,4046.9,0:0:22.85
4047.9,4048.9,4046.9,0:0:22.90
3471.2,4048.9,3470.2,0:0:22.95
3471.2,3472.2,3470.2,0:0:22.98
3471.2,3472.2,4037.1,0:0:23.00
4038.1,3472.2,4037.1,0:0:23.03
4038.1,4039.1,4037.1,0:0:23.06
4038.1,4039.1,3929.6,0:0:23.09
3930.6,4039.1,3929.6,0:0:23.11
3930.6,3931.6,3929.6,0:0:23.14
3930.6,3931.6,3607.0,0:0:23.17
3608.0,3931.6,3607.0,0:0:23.19
3608.0,3609.0,3607.0,0:0:23.22
3608.0,3609.0,3440.9,0:0:23.25
3441.9,3609.0,3440.9,0:0:23.27
3441.9,3442.9,3440.9,0:0:23.30
3441.9,3442.9,3489.7,0:0:23.33
3490.7,3442.9,3489.7,0:0:23.36
3490.7,3491.7,3489.7,0:0:23.38
3490.7,3491.7,3528.8,0:0:23.41
3529.8,3491.7,3528.8,0:0:23.44
3529.8,3530.8,3528.8,0:0:23.47
3979.5,3530.8,3978.5,0:0:23.52
3979.5,3980.5,3978.5,0:0:23.61
3979.5,3980.5,3919.8,0:0:23.64
3920.8,3980.5,3919.8,0:0:23.66
3920.8,3921.8,3919.8,0:0:23.69
3920.8,3921.8,3431.1,0:0:23.72
3432.1,3921.8,3431.1,0:0:23.74
3432.1,3433.1,3431.1,0:0:23.77
3950.2,3433.1,3949.2,0:0:23.82
3950.2,3951.2,3440.9,0:0:23.87
3441.9,3442.9,3890.5,0:0:23.93
3891.5,3892.5,3890.5,0:0:23.98
3559.2,3892.5,3558.2,0:0:24.03
3578.7,3560.2,3577.7,0:0:24.10
3578.7,3579.7,3597.3,0:0:24.15
3598.3,3579.7,3597.3,0:0:24.17
4116.3,3599.3,4115.3,0:0:24.24
4116.3,4117.3,3910.1,0:0:24.29
3911.1,4117.3,3910.1,0:0:24.32
3911.1,3912.1,3910.1,0:0:24.34
3911.1,3912.1,4017.6,0:0:24.37
